h,T,p
-350,290.425,1.05601e3
-300,290.100,1.04981e3
-250,289.775,1.04365e3
-200,289.450,1.03751e3
-150,289.125,1.03140e3
-100,288.800,1.02532e3
-50,288.475,1.01927e3
0.,288.150,1.01325e3
50,287.825,1.00726e3
100,287.500,1.00129e3
150,287.175,9.95359e2
200,286.850,9.89453e2
250,286.525,9.83576e2
300,286.200,9.77727e2
350,285.875,9.71906e2
400,285.550,9.66113e2
450,285.225,9.60349e2
500,284.900,9.54612e2
550,284.575,9.48904e2
600,284.250,9.43223e2
650,283.925,9.37569e2
700,283.601,9.31944e2
750,283.276,9.26345e2
800,282.951,9.20775e2
850,282.626,9.15231e2
900,282.301,9.09714e2
950,281.976,9.04225e2
1000,281.651,8.98763e2
1050,281.326,8.93327e2
1100,281.001,8.87918e2
1150,280.676,8.82536e2
1200,280.351,8.77156e2
1250,280.027,8.71851e2
1300,279.702,8.66548e2
1350,279.377,8.61271e2
1400,279.052,8.56020e2
1450,278.727,8.50795e2
1500,278.402,8.45597e2
1550,278.077,8.40424e2
1600,277.753,8.35277e2
1650,277.428,8.30155e2
1700,277.103,8.25059e2
1750,276.778,8.19989e2
1800,276.453,8.14943e2
1850,276.128,8.09923e2
1900,275.804,8.04929e2
1950,275.479,7.99959e2
2000,275.154,7.95014e2
2050,274.829,7.90094e2
2100,274.505,7.85199e2
2150,274.180,7.80329e2
2200,273.855,7.75483e2
2250,273.530,7.70661e2
2300,273.205,7.65864e2
2350,272.881,7.61091e2
2400,272.556,7.56342e2
2450,272.231,7.51618e2
2500,271.906,7.46917e2
2550,271.582,7.42241e2
2600,271.257,7.37588e2
2650,270.932,7.32959e2
2700,270.607,7.28353e2
2750,270.283,7.23771e2
2800,269.958,7.19213e2
2850,269.633,7.14678e2
2900,269.309,7.10166e2
2950,268.984,7.05677e2
3000,268.659,7.01212e2
3050,268.335,6.96769e2
3100,268.010,6.92349e2
3150,267.685,6.87952e2
3200,267.360,6.83578e2
3250,267.036,6.79226e2
3300,266.711,6.74897e2
3350,266.386,6.70590e2
3400,266.062,6.66306e2
3450,265.737,6.62044e2
3500,265.413,6.57804e2
3550,265.088,6.53586e2
3600,264.763,6.49390e2
3650,264.439,6.45216e2
3700,264.114,6.41064e2
3750,263.789,6.36933e2
3800,263.465,6.32825e2
3850,263.140,6.28737e2
3900,262.816,6.24672e2
3950,262.491,6.20627e2
4000,262.166,6.16604e2
4050,261.842,6.12602e2
4100,261.517,6.08622e2
4150,261.193,6.04662e2
4200,260.868,6.00723e2
4250,260.543,5.96805e2
4300,260.219,5.92908e2
4350,259.894,5.89032e2
4400,259.570,5.85176e2
4450,259.245,5.81340e2
4500,258.921,5.77526e2
4550,258.596,5.73731e2
4600,258.272,5.69957e2
4650,257.947,5.66203e2
4700,257.623,5.62469e2
4750,257.298,5.58755e2
4800,256.974,5.55061e2
4850,256.649,5.51387e2
4900,256.325,5.47732e2
4950,256.000,5.44098e2
5000,255.676,5.40483e2
5050,255.351,5.36887e2
5100,255.027,5.33311e2
5150,254.702,5.29754e2
5200,254.378,5.26217e2
5250,254.053,5.22699e2
5300,253.729,5.19200e2
5350,253.404,5.15720e2
5400,253.080,5.12259e2
5450,252.755,5.08816e2
5500,252.431,5.05393e2
5550,252.106,5.01988e2
5600,251.782,4.98602e2
5650,251.458,4.95235e2
5700,251.133,4.91886e2
5750,250.809,4.88555e2
5800,250.484,4.85243e2
5850,250.160,4.81949e2
5900,249.836,4.78673e2
5950,249.511,4.75416e2
6000,249.187,4.72176e2
6050,248.862,4.68955e2
6100,248.538,4.65751e2
6150,248.214,4.62565e2
6200,247.889,4.59396e2
6250,247.565,4.56246e2
6300,247.241,4.53113e2
6350,246.916,4.49997e2
6400,246.592,4.46899e2
6450,246.267,4.43818e2
6500,245.943,4.40755e2
6550,245.619,4.37708e2
6600,245.294,4.34679e2
6650,244.970,4.31667e2
6700,244.646,4.28672e2
6750,244.322,4.25693e2
6800,243.997,4.22732e2
6850,243.673,4.19787e2
6900,243.349,4.16859e2
6950,243.024,4.13947e2
7000,242.700,4.11053e2
7050,242.376,4.08174e2
7100,242.051,4.05312e2
7150,241.727,4.02466e2
7200,241.403,3.99637e2
7250,241.079,3.96823e2
7300,240.754,3.94026e2
7350,240.430,3.91245e2
7400,240.106,3.88480e2
7450,239.782,3.85730e2
7500,239.457,3.82997e2
7550,239.133,3.80279e2
7600,238.809,3.77577e2
7650,238.485,3.74890e2
7700,238.161,3.72219e2
7750,237.836,3.69564e2
7800,237.512,3.66924e2
7850,237.188,3.64299e2
7900,236.864,3.61690e2
7950,236.540,3.59095e2
8000,236.215,3.56516e2
8050,235.891,3.53952e2
8100,235.567,3.51403e2
8150,235.243,3.48869e2
8200,234.919,3.46349e2
8250,234.595,3.43845e2
8300,234.270,3.41355e2
8350,233.946,3.38880e2
8400,233.622,3.36419e2
8450,233.298,3.33973e2
8500,232.974,3.31542e2
8550,232.650,3.29124e2
8600,232.326,3.26722e2
8650,232.001,3.24333e2
8700,231.677,3.21959e2
8750,231.353,3.19598e2
8800,231.029,3.17252e2
8850,230.705,3.14920e2
8900,230.381,3.12602e2
8950,230.057,3.10297e2