NAME,RA,DEC,MUA,MUD,EPOCH,OBS_NAME,LAT,LON,H,OBS_DATE
Vega,+18:36:56.33635,+38:47:01.2802,200.94,286.23,J2000,KPNO,N31:57:30,W111:35:48,2096,2023:10:25
Vega,+18:36:56.33635,+38:47:01.2802,200.94,286.23,J2000,ORM,N28:45:25,W17:53:33,2326,2023:01:28
Spica,+13:25:11.57937,-11:09:40.7501,-42.35e-3,-30.67e-3,J2000,VLT,S24:37:38,W70:24:17,2635,2024:07:28
Spica,+13:25:11.57937,-11:09:40.7501,-42.35e-3,-30.67e-3,J2000,Mt Kent Obs,S27:47:51.72,E151:51:19.44,682,2020:05:20
M31,+00:42:44.330,+41:16:07.50,None,None,J2000,KPNO,N31:57:30,W111:35:48,2096,2023:10:26
LMC,+05:23:34.6,-69:45:22,1.910,0.229,J2000,VLT,S24:37:38,W70:24:17,2635,2024:02:03
Cyg 1975,+21:11:36.5809818696,+48:09:01.952490204,-6.449,-5.572,J2000,ORM,N28:45:25,W17:53:33,2326,2023:07:28
Pollux,+7:45:16.42,+28:01:34.5,-626.55e-3,-45.80e-3,J2000,OHP,N43:55:30.59,E5:42:28.79,650,2023:07:25
Vega,+18:36:56.33635,+38:47:01.2802,200.94,286.23,J2000,OHP,N43:55:30.59,E5:42:28.79,650,2023:12:23
Polaris,+02:31:49.09456,+89:15:50.7923,44.48e-3,-11.85e-3,J2000,KPNO,N31:57:30,W111:35:48,2096,2023:10:25
Polaris,+02:31:49.09456,+89:15:50.7923,44.48e-3,-11.85e-3,J2000,VLT,S24:37:38,W70:24:17,2635,2023:10:25
alf Car,+06:23:57.10988,-52:41:44.3810,261.21210208,-25.29220544,J2000,SPT,S89:59:22,W45:00:00,2800,2024:06:20
alf Car,+06:23:57.10988,-52:41:44.3810,261.21210208,-25.29220544,J2000,SPT,S89:59:22,W45:00:00,2800,2024:03:20
Vega,+18:36:56.33635,+38:47:01.2802,200.94,286.23,J2000,KPNO,N31:57:30,W111:35:48,2096,1990:11:03